dailyconfirmed,dailydeceased,dailyrecovered,date,totalconfirmed,totaldeceased,totalrecovered
0,0,0,01-Jan,0,0,0
0,0,0,02-Jan,0,0,0
0,0,0,03-Jan,0,0,0
0,0,0,04-Jan,0,0,0
0,0,0,05-Jan,0,0,0
0,0,0,06-Jan,0,0,0
0,0,0,07-Jan,0,0,0
0,0,0,08-Jan,0,0,0
0,0,0,09-Jan,0,0,0
0,0,0,10-Jan,0,0,0
0,0,0,11-Jan,0,0,0
0,0,0,12-Jan,0,0,0
0,0,0,13-Jan,0,0,0
0,0,0,14-Jan,0,0,0
0,0,0,15-Jan,0,0,0
0,0,0,16-Jan,0,0,0
0,0,0,17-Jan,0,0,0
0,0,0,18-Jan,0,0,0
0,0,0,19-Jan,0,0,0
0,0,0,20-Jan,0,0,0
0,0,0,21-Jan,0,0,0
0,0,0,22-Jan,0,0,0
0,0,0,23-Jan,0,0,0
0,0,0,24-Jan,0,0,0
0,0,0,25-Jan,0,0,0
0,0,0,26-Jan,0,0,0
0,0,0,27-Jan,0,0,0
0,0,0,28-Jan,0,0,0
0,0,0,29-Jan,0,0,0
1,0,0,30-Jan,1,0,0
0,0,0,31-Jan,1,0,0
0,0,0,01-Feb,1,0,0
1,0,0,02-Feb,2,0,0
1,0,0,03-Feb,3,0,0
0,0,0,04-Feb,3,0,0
0,0,0,05-Feb,3,0,0
0,0,0,06-Feb,3,0,0
0,0,0,07-Feb,3,0,0
0,0,0,08-Feb,3,0,0
0,0,0,09-Feb,3,0,0
0,0,0,10-Feb,3,0,0
0,0,0,11-Feb,3,0,0
0,0,0,12-Feb,3,0,0
0,0,1,13-Feb,3,0,1
0,0,0,14-Feb,3,0,1
0,0,0,15-Feb,3,0,1
0,0,1,16-Feb,3,0,2
0,0,0,17-Feb,3,0,2
0,0,0,18-Feb,3,0,2
0,0,0,19-Feb,3,0,2
0,0,1,20-Feb,3,0,3
0,0,0,21-Feb,3,0,3
0,0,0,22-Feb,3,0,3
0,0,0,23-Feb,3,0,3
0,0,0,24-Feb,3,0,3
0,0,0,25-Feb,3,0,3
0,0,0,26-Feb,3,0,3
0,0,0,27-Feb,3,0,3
0,0,0,28-Feb,3,0,3
0,0,0,29-Feb,3,0,3
0,0,0,01-Mar,3,0,3
2,0,0,02-Mar,5,0,3
1,0,0,03-Mar,6,0,3
22,0,0,04-Mar,28,0,3
2,0,0,05-Mar,30,0,3
1,0,0,06-Mar,31,0,3
3,0,0,07-Mar,34,0,3
5,0,0,08-Mar,39,0,3
9,0,0,09-Mar,48,0,3
15,0,1,10-Mar,63,0,4
8,0,0,11-Mar,71,0,4
10,1,0,12-Mar,81,1,4
10,0,6,13-Mar,91,1,10
11,1,0,14-Mar,102,2,10
10,0,3,15-Mar,112,2,13
14,0,1,16-Mar,126,2,14
